epoch,lr,train_loss,val_loss,val_rmse_kw,val_mae_kw,val_r2
0,0.00028000000000000003,0.3068870807235891,0.10208238649075149,41.4637336730957,27.11489486694336,0.8953137397766113
1,0.00046000000000000007,0.09694028027950896,0.06925677626185078,34.15262985229492,23.33551788330078,0.9289766550064087
2,0.00064,0.07652697563376637,0.08788751531901255,38.47304916381836,26.517518997192383,0.9098706841468811
3,0.0008200000000000001,0.06286235190620107,0.08477659395239392,37.786006927490234,26.811086654663086,0.9130609631538391
4,0.001,0.058479921692166446,0.0978551715754909,40.59615707397461,27.248868942260742,0.8996487855911255
5,0.001,0.050408796199466574,0.09566659753114148,40.13961410522461,28.0966739654541,0.9018931984901428
6,0.0009997293623837584,0.05146651793035265,0.06337414773516968,32.66999435424805,21.832731246948242,0.9350093603134155
7,0.0009989177454732933,0.04798847725281374,0.08859863799940693,38.62838363647461,27.39495849609375,0.9091414213180542
8,0.0009975660367597806,0.04799919759664818,0.06224127830377693,32.376678466796875,22.344514846801758,0.9361711144447327
9,0.0009956757143168527,0.03978868065909906,0.05752366144067603,31.125497817993164,20.976337432861328,0.9410090446472168
10,0.0009932488451843476,0.04611742346657866,0.07982612140680272,36.66617202758789,27.7274169921875,0.9181377291679382
11,0.0009902880831080306,0.043268668893775994,0.08714741494893376,38.31071853637695,25.513202667236328,0.9106296896934509
12,0.0009867966656377629,0.04070368312689227,0.07539744182525436,35.634552001953125,28.04239845275879,0.9226793646812439
13,0.0009827784105872876,0.03867134050602099,0.07816133440517989,36.28181457519531,25.710798263549805,0.9198449850082397
14,0.000978237711859507,0.0392002493615157,0.06352720997942601,32.70942687988281,24.058929443359375,0.9348523616790771
15,0.0009731795346418141,0.03925777959429528,0.0649614844857995,33.07661056518555,24.887187957763672,0.9333814978599548
16,0.0009676094099767331,0.04139763937324039,0.073479431289467,35.17838668823242,26.590513229370117,0.9246463179588318
17,0.0009615334287138054,0.036508087540871516,0.07206972802434462,34.83930206298828,26.69525909423828,0.9260919690132141
18,0.0009549582348493354,0.03750396055007769,0.0852147181991671,37.88351821899414,28.251201629638672,0.9126116633415222
19,0.000947891018261278,0.03634124448312544,0.0727760263520186,35.009605407714844,27.666067123413086,0.9253676533699036
20,0.000940339506847212,0.03700407552622648,0.0667687388635724,33.5335578918457,24.378292083740234,0.9315281510353088
21,0.0009323119580739992,0.03444418934053298,0.0690789488983936,34.10875701904297,26.761442184448242,0.9291590452194214
22,0.0009238171499483629,0.03541287841383091,0.06899219218010459,34.08732986450195,27.22952651977539,0.9292479753494263
23,0.00091486437141827,0.033642313861321486,0.06550072031757219,33.2136116027832,24.902624130249023,0.9328285455703735
24,0.000905463412215599,0.033964318692807326,0.07329509537565253,35.13423156738281,26.757871627807617,0.9248353242874146
25,0.0008956245521512149,0.03460968220118977,0.07430541132642923,35.37555694580078,26.142616271972656,0.9237992167472839
26,0.0008853585498741453,0.03628177887480449,0.06566686415281452,33.255706787109375,24.53362464904785,0.9326581358909607
27,0.0008746766311071562,0.03194498386716383,0.06778407050042204,33.78756332397461,23.760704040527344,0.9304869174957275
28,0.0008635904763715891,0.03215577145499631,0.08435814882643887,37.6926383972168,29.99110984802246,0.9134901165962219
29,0.0008521122082148818,0.03268178309167712,0.06911118270554503,34.11671447753906,24.885120391845703,0.929125964641571
