epoch,lr,train_loss,val_loss,val_rmse_kw,val_mae_kw,val_r2
0,0.00028000000000000003,0.2639062674331271,0.08806410663929141,38.51168441772461,28.013912200927734,0.9096896052360535
1,0.00046000000000000007,0.10056250486984726,0.10913438997307762,42.87200927734375,30.482032775878906,0.8880818486213684
2,0.00064,0.07259303269800076,0.08100334567124726,36.935546875,26.4091854095459,0.9169304370880127
3,0.0008200000000000001,0.07498782401078331,0.05660729034920859,30.8765811920166,20.50337028503418,0.9419488310813904
4,0.001,0.05955928425527801,0.10748582697712658,42.546966552734375,30.72351837158203,0.8897724747657776
5,0.001,0.05631922064323399,0.08847652874439141,38.60175704956055,25.666608810424805,0.9092666506767273
6,0.0009997293623837584,0.052193408601047576,0.08236322389111493,37.24428939819336,27.481216430664062,0.9155359268188477
7,0.0009989177454732933,0.05121125274699582,0.09159325786912051,39.27577590942383,23.80434799194336,0.9060704708099365
8,0.0009975660367597806,0.047334598977703694,0.08773464359383766,38.439571380615234,26.352872848510742,0.9100275039672852
9,0.0009956757143168527,0.045652335114551315,0.09934495517709216,40.904014587402344,30.54530143737793,0.8981209993362427
10,0.0009932488451843476,0.05390949785380981,0.10039404240218017,41.11941909790039,29.739316940307617,0.8970451951026917
11,0.0009902880831080306,0.04668633811196348,0.09907173827453389,40.84772872924805,31.204235076904297,0.8984012007713318
12,0.0009867966656377629,0.047712444592031236,0.10407102421496084,41.865657806396484,27.305002212524414,0.8932744264602661
13,0.0009827784105872876,0.04375720148798355,0.0612655498005979,32.12189865112305,22.125429153442383,0.9371716976165771
14,0.000978237711859507,0.043588225917054274,0.08204751836309016,37.1728401184082,26.3189754486084,0.9158596992492676
15,0.0009731795346418141,0.04126402680292603,0.08543741938154228,37.93299102783203,25.32428550720215,0.9123833179473877
