name,fusion,use_ts,use_met,use_img,params,best_epoch,epochs_run,test_rmse_kw,test_mae_kw,test_r2,test_nrmse_pct
TS_only,concat,True,False,False,267777,22,43,20.98284149169922,12.428277969360352,0.9760078191757202,4.196568298339844
Met_only,concat,False,True,False,58945,50,71,46.03640365600586,27.2515869140625,0.8845100402832031,9.207280731201172
Img_only,concat,False,False,True,159745,42,63,59.78252410888672,35.85823059082031,0.8052443861961365,11.956504821777344
TS_Met,concat,True,True,False,293441,9,30,22.871124267578125,16.603551864624023,0.9714952707290649,4.574224853515625
TS_Img,concat,True,False,True,394241,43,64,21.5576114654541,14.614131927490234,0.9746754169464111,4.31152229309082
Met_Img,concat,False,True,True,185409,14,35,42.23807907104492,28.93743133544922,0.9027813076972961,8.447615814208984
EarlyFusion,concat,True,True,True,419905,3,24,23.57166862487793,16.39845085144043,0.969722330570221,4.714333724975586
AttnFusion,attention,True,True,True,413252,45,66,19.326200485229492,10.583914756774902,0.9796467423439026,3.8652400970458984
